"","theaters","reviews","series","budget","studio","boxoffice_earnings"
"1",1008,0,0,41.834412325796,"warner_bros",10102.9368654154
"2",993,10,0,38.1642308455235,"warner_bros",10219.2291860435
"3",1035,0,0,51.6496511127873,"warner_bros",10470.7167613511
"4",988,0,0,70.8757381022706,"warner_bros",9980.13841314427
"5",942,4,0,81.4639572025135,"warner_bros",9599.16660035445
"6",1034,4,0,63.5929752165563,"warner_bros",10460.1542170442
"7",991,5,0,26.4889274751198,"warner_bros",10037.5366272396
"8",1029,0,0,33.0460189147732,"warner_bros",10327.6523449598
"9",975,7,0,8.65521852927119,"warner_bros",9871.9416036178
"10",988,8,1,41.9430409425344,"warner_bros",10082.6185927434
"11",960,10,0,67.4358088063299,"warner_bros",9738.03348906619
"12",1035,4,0,17.5942641614774,"warner_bros",10456.9019939126
"13",1018,10,0,23.109265396372,"warner_bros",10361.12964867
"14",1024,3,0,35.1502955524433,"warner_bros",10297.0690098122
"15",998,2,0,43.8235973169731,"warner_bros",10098.1095332821
"16",991,5,0,42.8639467065295,"warner_bros",10034.3334466367
"17",970,6,0,69.5617413561266,"warner_bros",9858.81530219938
"18",990,4,0,70.1818314592112,"warner_bros",10068.4705434747
"19",1002,10,0,25.1315519327541,"warner_bros",10289.9173248725
"20",1024,2,0,81.4861086512354,"warner_bros",10339.2678104682
"21",974,2,0,-2.66016962505427,"warner_bros",9839.89181867189
"22",934,7,0,24.5010275343786,"warner_bros",9463.1005959231
"23",957,5,0,45.002745479436,"warner_bros",9659.44496028955
"24",985,3,0,63.6371170325587,"warner_bros",10029.9358172585
"25",990,9,0,49.7986450597097,"warner_bros",10073.239175264
"26",1060,5,0,59.2694519305353,"warner_bros",10737.0589001787
"27",971,10,0,78.853351037799,"warner_bros",9899.3140131849
"28",1040,3,0,46.4496111023729,"warner_bros",10537.0326731804
"29",1007,4,0,29.3793648656003,"warner_bros",10185.1992767522
"30",1023,4,1,45.6616387179563,"warner_bros",10449.572661672
"31",1024,4,0,20.4176577917777,"warner_bros",10411.5352425876
"32",1024,10,0,60.2274908981991,"warner_bros",10461.7637889088
"33",1020,2,0,43.2787635941222,"warner_bros",10207.4423086323
"34",1013,9,0,56.6155117180578,"warner_bros",10395.8949974331
"35",945,7,0,28.8894251825447,"warner_bros",9631.6955108051
"36",1053,5,0,63.2672203226468,"warner_bros",10672.2434092319
"37",962,9,0,30.1453386388276,"warner_bros",9901.1755765811
"38",979,6,0,27.6845081773101,"warner_bros",9917.30471931009
